City,Date,Sunup,Sundown
toronto,2010-01-01,07:51,16:51
toronto,2010-01-02,07:51,16:52
toronto,2010-01-03,07:51,16:53
toronto,2010-01-04,07:51,16:54
toronto,2010-01-05,07:51,16:55
toronto,2010-01-06,07:50,16:56
toronto,2010-01-07,07:50,16:57
toronto,2010-01-08,07:50,16:58
toronto,2010-01-09,07:50,16:59
toronto,2010-01-10,07:49,17:00
toronto,2010-01-11,07:49,17:01
toronto,2010-01-12,07:49,17:02
toronto,2010-01-13,07:48,17:03
toronto,2010-01-14,07:48,17:05
toronto,2010-01-15,07:47,17:06
toronto,2010-01-16,07:47,17:07
toronto,2010-01-17,07:46,17:08
toronto,2010-01-18,07:46,17:10
toronto,2010-01-19,07:45,17:11
toronto,2010-01-20,07:44,17:12
toronto,2010-01-21,07:44,17:13
toronto,2010-01-22,07:43,17:15
toronto,2010-01-23,07:42,17:16
toronto,2010-01-24,07:41,17:17
toronto,2010-01-25,07:40,17:19
toronto,2010-01-26,07:40,17:20
toronto,2010-01-27,07:39,17:21
toronto,2010-01-28,07:38,17:23
toronto,2010-01-29,07:37,17:24
toronto,2010-01-30,07:36,17:25
toronto,2010-01-31,07:35,17:27
toronto,2010-02-01,07:34,17:28
toronto,2010-02-02,07:32,17:30
toronto,2010-02-03,07:31,17:31
toronto,2010-02-04,07:30,17:32
toronto,2010-02-05,07:29,17:34
toronto,2010-02-06,07:28,17:35
toronto,2010-02-07,07:26,17:36
toronto,2010-02-08,07:25,17:38
toronto,2010-02-09,07:24,17:39
toronto,2010-02-10,07:23,17:40
toronto,2010-02-11,07:21,17:42
toronto,2010-02-12,07:20,17:43
toronto,2010-02-13,07:18,17:45
toronto,2010-02-14,07:17,17:46
toronto,2010-02-15,07:16,17:47
toronto,2010-02-16,07:14,17:49
toronto,2010-02-17,07:13,17:50
toronto,2010-02-18,07:11,17:51
toronto,2010-02-19,07:10,17:53
toronto,2010-02-20,07:08,17:54
toronto,2010-02-21,07:07,17:55
toronto,2010-02-22,07:05,17:57
toronto,2010-02-23,07:03,17:58
toronto,2010-02-24,07:02,17:59
toronto,2010-02-25,07:00,18:01
toronto,2010-02-26,06:59,18:02
toronto,2010-02-27,06:57,18:03
toronto,2010-02-28,06:55,18:04
toronto,2010-03-01,06:54,18:06
toronto,2010-03-02,06:52,18:07
toronto,2010-03-03,06:50,18:08
toronto,2010-03-04,06:49,18:10
toronto,2010-03-05,06:47,18:11
toronto,2010-03-06,06:45,18:12
toronto,2010-03-07,06:43,18:13
toronto,2010-03-08,06:42,18:15
toronto,2010-03-09,06:40,18:16
toronto,2010-03-10,06:38,18:17
toronto,2010-03-11,06:36,18:18
toronto,2010-03-12,06:35,18:20
toronto,2010-03-13,06:33,18:21
toronto,2010-03-14,07:31,19:22
toronto,2010-03-15,07:29,19:23
toronto,2010-03-16,07:28,19:24
toronto,2010-03-17,07:26,19:26
toronto,2010-03-18,07:24,19:27
toronto,2010-03-19,07:22,19:28
toronto,2010-03-20,07:20,19:29
toronto,2010-03-21,07:19,19:31
toronto,2010-03-22,07:17,19:32
toronto,2010-03-23,07:15,19:33
toronto,2010-03-24,07:13,19:34
toronto,2010-03-25,07:11,19:35
toronto,2010-03-26,07:10,19:37
toronto,2010-03-27,07:08,19:38
toronto,2010-03-28,07:06,19:39
toronto,2010-03-29,07:04,19:40
toronto,2010-03-30,07:02,19:41
toronto,2010-03-31,07:01,19:43
